KOname	ko
ripA; peptidoglycan DL-endopeptidase RipA	K21473
ripB; peptidoglycan DL-endopeptidase RipB	K21474
RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1	K02861
RIPK2; receptor-interacting serine/threonine-protein kinase 2	K08846
RIPK3; receptor-interacting serine/threonine-protein kinase 3	K08847
RIPK4; receptor-interacting serine/threonine-protein kinase 4	K08848
RIPOR, FAM65; Rho family-interacting cell polarization regulator	K24818
RIR; 2-methyl-1-pyrroline reductase	K19809
rirA; Rrf2 family transcriptional regulator, iron-responsive regulator	K13772
RIT1; Ras-like without CAAX 1	K07832
RIT1; tRNA A64-2'-O-ribosylphosphate transferase	K15463
RIT2, RIN; Ras-like without CAAX 2	K07833
RIX1, IPI2; pre-rRNA-processing protein RIX1	K14828
RIX7, NVL; ribosome biogenesis ATPase	K14571
rizA; L-arginine-specific L-amino acid ligase	K22115
RL1; HSV1 neurovirulence factor ICP34.5	K19437
RLBP1; retinaldehyde-binding protein 1	K19625
rlhA; 23S rRNA 5-hydroxycytidine C2501 synthase	K24847
RLIM, RNF12; E3 ubiquitin-protein ligase RLIM	K16271
RLM1; transcription factor RLM1	K09265
rlmA1; 23S rRNA (guanine745-N1)-methyltransferase	K00563
rlmA2; 23S rRNA (guanine748-N1)-methyltransferase	K14336
rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase	K03218
rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase	K02427
rlmF; 23S rRNA (adenine1618-N6)-methyltransferase	K06970
rlmG; 23S rRNA (guanine1835-N2)-methyltransferase	K11391
rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase	K00783
rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase	K06969
rlmJ; 23S rRNA (adenine2030-N6)-methyltransferase	K07115
rlmK; 23S rRNA (guanine2069-N7)-methyltransferase	K25136
rlmKL; 23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase	K12297
rlmL; 23S rRNA (guanine2445-N2)-methyltransferase	K25137
rlmM; 23S rRNA (cytidine2498-2'-O)-methyltransferase	K06968
rlmN; 23S rRNA (adenine2503-C2)-methyltransferase	K06941
RLN1_2; relaxin 1/2	K21998
RLN3; relaxin 3	K22000
rlpA; rare lipoprotein A	K03642
rlp; S-methyl-5-thioribulose 1-phosphate isomerase	K25035
rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase	K06177
rluB; 23S rRNA pseudouridine2605 synthase	K06178
rluC; 23S rRNA pseudouridine955/2504/2580 synthase	K06179
rluD; 23S rRNA pseudouridine1911/1915/1917 synthase	K06180
rluE; 23S rRNA pseudouridine2457 synthase	K06181
rluF; 23S rRNA pseudouridine2604 synthase	K06182
RMC1; regulator of MON1-CCZ1 complex	K24763
rmd; GDP-4-dehydro-6-deoxy-D-mannose reductase	K15856
RMDN3, PTPIP51; regulator of microtubule dynamics protein 3	K23293
RME1; zinc finger protein RME1	K09235
rmf; ribosome modulation factor	K03812
RMI1, BRAP75; RecQ-mediated genome instability protein 1	K10990
RMI2; RecQ-mediated genome instability protein 2	K15365
RMND1; required for meiotic nuclear division protein 1	K23499
RMND5; E3 ubiquitin-protein transferase RMND5	K23333
RMP1; ribonuclease MRP protein subunit RMP1	K14532
RMT2; type IV protein arginine methyltransferase	K18477
rmt, armA; 16S rRNA (guanine(1405)-N(7))-methyltransferase	K18845
rmuC; DNA recombination protein RmuC	K09760
rnaIII; small regulatory RNA RNAIII	K20554
rna; ribonuclease I (enterobacter ribonuclease)	K01169
rnaSA; ribonuclease T1	K01167
RNASE11; ribonuclease 11	K16633
RNASE1_2; pancreatic ribonuclease	K01168
RNASE3, ECP; eosinophil cationic protein	K10787
RNASE4; ribonuclease 4	K16632
RNASE6_7_8; ribonuclease 6/7/8	K01172
RNASEH2A; ribonuclease H2 subunit A	K10743
RNASEH2B; ribonuclease H2 subunit B	K10744
RNASEH2C; ribonuclease H2 subunit C	K10745
RNASEK; ribonuclease kappa	K19770
RNASEL; ribonuclease L	K01165
RNASET2; ribonuclease T2	K01166
rnb; exoribonuclease II	K01147
rnc, DROSHA, RNT1; ribonuclease III	K03685
RND1; Rho family GTPase 1	K07531
RND2; Rho family GTPase 2	K07858
RND3; Rho family GTPase 3	K07859
rnd; ribonuclease D	K03684
rne; ribonuclease E	K08300
RNF103, KF1; E3 ubiquitin-protein ligase RNF103	K15695
RNF111; E3 ubiquitin-protein ligase Arkadia	K10635
RNF113A, CWC24; RING finger protein 113A	K13127
RNF113B; RING finger protein 113B	K15696
RNF114; RING finger protein 114	K15697
RNF115_126; E3 ubiquitin-protein ligase RNF115/126	K11982
RNF11; E3 ubiquitin-protein ligase RNF11	K11980
RNF121_175; RING finger protein 121/175	K15698
RNF122; RING finger protein 122	K15699
RNF125; E3 ubiquitin-protein ligase RNF125	K12170
RNF128, GRAIL; E3 ubiquitin-protein ligase RNF128	K10629
RNF1_2; E3 ubiquitin-protein ligase RNF1/2	K10695
RNF130, GOLIATH; E3 ubiquitin-protein ligase RNF130	K15701
RNF133; E3 ubiquitin-protein ligase RNF133	K15702
RNF135; E3 ubiquitin-protein ligase RNF135	K16272
RNF138; E3 ubiquitin-protein ligase RNF138	K10668
RNF139, TRC8; E3 ubiquitin-protein ligase RNF139	K15703
RNF13, RZF; E3 ubiquitin-protein ligase RNF13	K15692
RNF144; E3 ubiquitin-protein ligase RNF144	K11975
RNF145; RING finger protein 145	K23789
RNF146; E3 ubiquitin-protein ligase RNF146	K15700
RNF149; E3 ubiquitin-protein ligase RNF149	K15704
RNF14, ARA54; E3 ubiquitin-protein ligase RNF14	K11971
RNF151; RING finger protein 151	K24148
RNF152; E3 ubiquitin-protein ligase RNF152	K15705
RNF165; RING finger protein 165	K17821
RNF166; RING finger protein 166	K17044
RNF167; E3 ubiquitin-protein ligase RNF167	K15706
RNF168; E3 ubiquitin-protein ligase RNF168	K20779
RNF169; E3 ubiquitin-protein ligase RNF169	K20805
RNF170; RING finger protein 170	K15707
RNF180; E3 ubiquitin-protein ligase RNF180	K15708
RNF181; E3 ubiquitin-protein ligase RNF181	K22378
RNF182; E3 ubiquitin-protein ligase RNF182	K11983
RNF183; E3 ubiquitin-protein ligase RNF183	K22157
RNF187; E3 ubiquitin-protein ligase RNF187	K15709
RNF19A; E3 ubiquitin-protein ligase RNF19A	K11972
RNF19B; E3 ubiquitin-protein ligase RNF19B	K11973
RNF213; E3 ubiquitin-protein ligase RNF213	K22754
RNF216, TRIAD3; E3 ubiquitin-protein ligase RNF216	K11976
RNF217, IBRDC1; E3 ubiquitin-protein ligase RNF217	K11977
RNF25, AO7; E3 ubiquitin-protein ligase RNF25	K10640
RNF26; RING finger protein 26	K15693
RNF31, HOIP; E3 ubiquitin-protein ligase RNF31	K11974
RNF34; E3 ubiquitin-protein ligase RNF34	K20804
RNF38_44; E3 ubiquitin-protein ligase RNF38/44	K19041
RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1	K11981
RNF43; RING finger protein 43	K15694
RNF4; E3 ubiquitin-protein ligase RNF4	K22651
RNF5; E3 ubiquitin-protein ligase RNF5	K10666
RNF6; E3 ubiquitin-protein ligase RNF6	K22753
RNF8; E3 ubiquitin-protein ligase RNF8	K10667
rnfA; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A	K03617
rnfB; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B	K03616
rnfC2; ion-translocating oxidoreductase complex subunit C	K25008
rnfC; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C	K03615
rnfD; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D	K03614
rnfE; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E	K03613
rnfG; Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G	K03612
RNFT1; E3 ubiquitin-protein ligase RNFT1	K22379
rng, cafA; ribonuclease G	K08301
RNGTT; mRNA-capping enzyme	K13917
RNH1; ribonuclease inhibitor	K16634
rnhA-dnaQ; ribonuclease HI / DNA polymerase III subunit epsilon	K14159
rnhA, RNASEH1; ribonuclease HI	K03469
rnhB; ribonuclease HII	K03470
rnhC; ribonuclease HIII	K03471
rnh; ribonuclease H	K18950
rnj; ribonuclease J	K12574
rnk; regulator of nucleoside diphosphate kinase	K06140
rnlA; T4 RNA ligase 1	K18961
rnlB; T4 RNA ligase 2	K18962
RNLS; renalase	K18208
RNMTL1; 16S rRNA (guanosine(1370)-2'-O)-methyltransferase	K20095
RNMT; mRNA (guanine-N7-)-methyltransferase	K00565
RNMT; reticuline N-methyltransferase	K21580
rnmV; ribonuclease M5	K05985
rnpA; ribonuclease P protein component	K03536
rnpB; M1 RNA	K01978
RNPC3; U11/U12 small nuclear ribonucleoprotein 65 kDa protein	K13157
RNPEP; aminopeptidase B	K01260
RNPEPL1; arginyl aminopeptidase-like 1	K09605
RNPS1; RNA-binding protein with serine-rich domain 1	K14325
rnr, vacB; ribonuclease R	K12573
rnt; ribonuclease T	K03683
RNU2; ribonuclease U2	K23175
rny; ribonucrease Y	K18682
rnz; ribonuclease Z	K00784
rob; AraC family transcriptional regulator, mar-sox-rob regulon activator	K05804
ROBO1; roundabout, axon guidance receptor 1	K06753
ROBO2; roundabout, axon guidance receptor 2	K06754
ROBO3; roundabout, axon guidance receptor 3	K06755
ROBO4; roundabout, axon guidance receptor 4	K06784
rocD, OAT; ornithine--oxo-acid transaminase	K00819
rocE, rocC; arginine/ornithine permease	K02205
ROCK1; Rho-associated protein kinase 1	K04514
ROCK2; Rho-associated protein kinase 2	K17388
rocR; arginine utilization regulatory protein	K06714
rocS; c-di-GMP phosphodiesterase	K20965
rodA, mrdB; rod shape determining protein RodA	K05837
rodZ; cytoskeleton protein RodZ	K15539
roeA; diguanylate cyclase	K21022
rof; Rho-binding antiterminator	K19000
ROGDI; protein rogdi	K24628
ROM1_2; RHO1 GDP-GTP exchange protein 1/2	K19842
ROM1, TSPAN23; rod outer segment membrane protein 1	K17344
ROMT; trans-resveratrol di-O-methyltransferase	K16040
ROMT; tricin synthase	K18883
RON2; rhoptry neck protein 2	K14145
RON4; rhoptry neck protein 4	K14146
ROP16; rhoptry protein 16	K14151
ROP2; rhoptry protein 2	K14148
ropB, rgg1; HTH-type transcriptional regulator, pheromone-responsive regulator	K20375
ROQA; histidyltryptophyldiketopiperazine synthetase	K23888
ROQD; roquefortine prenyltransferase	K23889
ROQM; mycotoxins biosynthesis FAD-dependent monooxygenase	K23890
ROQN; glandicoline B O-methyltransferase	K23891
ROQO; mycotoxins biosynthesis cytochrome P450 monooxygenase RoqO	K23892
ROR1, NTRKR1; receptor tyrosine kinase-like orphan receptor 1	K05122
ROR2, NTRKR2; receptor tyrosine kinase-like orphan receptor 2	K05123
ROS1; proto-oncogene tyrosine-protein kinase ROS	K05088
rosA; 8-amino-8-demethylriboflavin N,N-dimethyltransferase	K22269
rosB; 8-demethyl-8-aminoriboflavin-5'-phosphate synthase	K22598
rot; MarR family transcriptional regulator, global regulator for virulence	K20338
ROX3, MED19; mediator of RNA polymerase II transcription subunit 19, fungi type	K15138
roxA; exo-cleaving rubber dioxygenase	K22690
roxB; endo-cleaving rubber dioxygenase	K23118
RP1; retinitis pigmentosa 1	K19538
RP2; protein XRP2	K18272
RP9, PAP-1; retinitis pigmentosa 9 protein	K19604
RPA12, ZNRD1; DNA-directed RNA polymerase I subunit RPA12	K03000
RPA14; DNA-directed RNA polymerase I subunit RPA14	K03001
RPA1, POLR1A; DNA-directed RNA polymerase I subunit RPA1	K02999
RPA2, POLR1B; DNA-directed RNA polymerase I subunit RPA2	K03002
RPA34; DNA-directed RNA polymerase I subunit RPA34	K03003
RPA3; replication factor A3	K10740
RPA43; DNA-directed RNA polymerase I subunit RPA43	K03004
RPA49, POLR1E; DNA-directed RNA polymerase I subunit RPA49	K03005
RPA4; replication factor A4	K10741
rpaA; two-component system, OmpR family, response regulator RpaA	K10697
rpaB; two-component system, OmpR family, response regulator RpaB	K11329
RPAP1; RNA polymerase II-associated protein 1	K20826
RPAP2; RNA polymerase II-associated protein 2	K20827
RPAP3; RNA polymerase II-associated protein 3	K23002
RPB10, POLR2L; DNA-directed RNA polymerases I, II, and III subunit RPABC5	K03007
RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11	K03008
RPB12, POLR2K; DNA-directed RNA polymerases I, II, and III subunit RPABC4	K03009
RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1	K03006
RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2	K03010
RPB3, POLR2C; DNA-directed RNA polymerase II subunit RPB3	K03011
RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4	K03012
RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	K03013
RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2	K03014
RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7	K03015
RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3	K03016
RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9	K03017
RPC11, POLR3K; DNA-directed RNA polymerase III subunit RPC11	K03019
RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2	K03020
RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1	K03018
RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2	K03021
RPC3, POLR3C; DNA-directed RNA polymerase III subunit RPC3	K03023
RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	K03027
RPC4, POLR3D; DNA-directed RNA polymerase III subunit RPC4	K03026
RPC5, POLR3E; DNA-directed RNA polymerase III subunit RPC5	K14721
RPC6, POLR3F; DNA-directed RNA polymerase III subunit RPC6	K03025
RPC7, POLR3G; DNA-directed RNA polymerase III subunit RPC7	K03024
RPC8, POLR3H; DNA-directed RNA polymerase III subunit RPC8	K03022
rpcG; R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase	K20713
RPE65b; all-trans-retinyl ester 13-cis isomerohydrolase	K20991
RPE65; retinoid isomerohydrolase / lutein isomerase	K11158
rpe, RPE; ribulose-phosphate 3-epimerase	K01783
RPF1; ribosome production factor 1	K14846
RPF2; ribosome production factor 2	K14847
rpfA; resuscitation-promoting factor RpfA	K21687
rpfB; resuscitation-promoting factor RpfB	K21688
rpfC; resuscitation-promoting factor RpfC	K21689
rpfC; two-component system, sensor histidine kinase RpfC	K10715
rpfD; resuscitation-promoting factor RpfD	K21690
rpfE; resuscitation-promoting factor RpfE	K21691
rpfF; DSF synthase	K13816
rpfG; two-component system, response regulator RpfG	K13815
RPGRIP1L; protein fantom	K16550
RPGRIP1; X-linked retinitis pigmentosa GTPase regulator-interacting protein 1	K16512
RPGR; X-linked retinitis pigmentosa GTPase regulator	K19607
RPH1; DNA damage-responsive transcriptional repressor /	K19799
RPH3AL; Rab effector Noc2	K19939
RPH3A; rabphilin-3A	K19938
rph; ribonuclease PH	K00989
rph; rifampicin phosphotransferase	K22579
rpiA; ribose 5-phosphate isomerase A	K01807
rpiB; ribose 5-phosphate isomerase B	K01808
rpiR, alsR; RpiR family transcriptional regulator, repressor of rpiB and als operon	K23238
RP;	K20115
RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	K02865
RP-L10e, RPL10; large subunit ribosomal protein L10e	K02866
RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10	K02864
RP-L11e, RPL11; large subunit ribosomal protein L11e	K02868
RP-L11, MRPL11, rplK; large subunit ribosomal protein L11	K02867
RP-L12e, RPL12; large subunit ribosomal protein L12e	K02870
RP-L12, rpl12; large subunit ribosomal protein L12	K02869
RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae	K02872
RP-L13e, RPL13; large subunit ribosomal protein L13e	K02873
RP-L13, MRPL13, rplM; large subunit ribosomal protein L13	K02871
RP-L14e, RPL14; large subunit ribosomal protein L14e	K02875
RP-L14, MRPL14, rplN; large subunit ribosomal protein L14	K02874
RP-L15e, RPL15; large subunit ribosomal protein L15e	K02877
RP-L15, MRPL15, rplO; large subunit ribosomal protein L15	K02876
RP-L16, MRPL16, rplP; large subunit ribosomal protein L16	K02878
RP-L17e, RPL17; large subunit ribosomal protein L17e	K02880
RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17	K02879
RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae	K02882
RP-L18e, RPL18; large subunit ribosomal protein L18e	K02883
RP-L18, MRPL18, rplR; large subunit ribosomal protein L18	K02881
RP-L19e, RPL19; large subunit ribosomal protein L19e	K02885
RP-L19, MRPL19, rplS; large subunit ribosomal protein L19	K02884
RP-L1, MRPL1, rplA; large subunit ribosomal protein L1	K02863
RP-L20, MRPL20, rplT; large subunit ribosomal protein L20	K02887
RP-L21e, RPL21; large subunit ribosomal protein L21e	K02889
RP-L21, MRPL21, rplU; large subunit ribosomal protein L21	K02888
RP-L22e, RPL22; large subunit ribosomal protein L22e	K02891
RP-L22, MRPL22, rplV; large subunit ribosomal protein L22	K02890
RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae	K02893
RP-L23e, RPL23; large subunit ribosomal protein L23e	K02894
RP-L23, MRPL23, rplW; large subunit ribosomal protein L23	K02892
RP-L24e, RPL24; large subunit ribosomal protein L24e	K02896
RP-L24, MRPL24, rplX; large subunit ribosomal protein L24	K02895
RP-L25, rplY; large subunit ribosomal protein L25	K02897
RP-L26e, RPL26; large subunit ribosomal protein L26e	K02898
RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae	K02900
RP-L27e, RPL27; large subunit ribosomal protein L27e	K02901
RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27	K02899
RP-L28e, RPL28; large subunit ribosomal protein L28e	K02903
RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28	K02902
RP-L29e, RPL29; large subunit ribosomal protein L29e	K02905
RP-L29, rpmC; large subunit ribosomal protein L29	K02904
RP-L2, MRPL2, rplB; large subunit ribosomal protein L2	K02886
RP-L30e, RPL30; large subunit ribosomal protein L30e	K02908
RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30	K02907
RP-L31e, RPL31; large subunit ribosomal protein L31e	K02910
RP-L31, rpmE; large subunit ribosomal protein L31	K02909
RP-L32e, RPL32; large subunit ribosomal protein L32e	K02912
RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32	K02911
RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33	K02913
RP-L34e, RPL34; large subunit ribosomal protein L34e	K02915
RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34	K02914
RP-L35Ae, RPL35A; large subunit ribosomal protein L35Ae	K02917
RP-L35e, RPL35; large subunit ribosomal protein L35e	K02918
RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35	K02916
RP-L36e, RPL36; large subunit ribosomal protein L36e	K02920
RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36	K02919
RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae	K02921
RP-L37e, RPL37; large subunit ribosomal protein L37e	K02922
RP-L38e, RPL38; large subunit ribosomal protein L38e	K02923
RP-L39e, RPL39; large subunit ribosomal protein L39e	K02924
RP-L3e, RPL3; large subunit ribosomal protein L3e	K02925
RP-L3, MRPL3, rplC; large subunit ribosomal protein L3	K02906
RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e	K02927
RP-L41e, RPL41; large subunit ribosomal protein L41e	K02928
RP-L44e, RPL44; large subunit ribosomal protein L44e	K02929
RP-L4e, RPL4; large subunit ribosomal protein L4e	K02930
RP-L4, MRPL4, rplD; large subunit ribosomal protein L4	K02926
RP-L5e, RPL5; large subunit ribosomal protein L5e	K02932
RP-L5, MRPL5, rplE; large subunit ribosomal protein L5	K02931
RP-L6e, RPL6; large subunit ribosomal protein L6e	K02934
RP-L6, MRPL6, rplF; large subunit ribosomal protein L6	K02933
RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae	K02936
RP-L7A, rplGB; large subunit ribosomal protein L7A	K07590
RP-L7e, RPL7; large subunit ribosomal protein L7e	K02937
RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12	K02935
RP-L8e, RPL8; large subunit ribosomal protein L8e	K02938
RP-L9e, RPL9; large subunit ribosomal protein L9e	K02940
RP-L9, MRPL9, rplI; large subunit ribosomal protein L9	K02939
RP-LP0, RPLP0; large subunit ribosomal protein LP0	K02941
RP-LP1, RPLP1; large subunit ribosomal protein LP1	K02942
RP-LP2, RPLP2; large subunit ribosomal protein LP2	K02943
RP-LX, rplX; large subunit ribosomal protein LX	K02944
RPM1, RPS3; disease resistance protein RPM1	K13457
RPM2; ribonuclease P protein component, mitochondrial	K14533
RPN13; 26S proteasome regulatory subunit N13	K06691
RPN4; protein RPN4	K03034
rpnA; recombination-promoting nuclease RpnA	K01157
rpnB; recombination-promoting nuclease RpnB	K24087
rpnC; recombination-promoting nuclease RpnC	K24088
rpnD; recombination-promoting nuclease RpnD	K24089
rpnE; recombination-promoting nuclease RpnE	K24090
RPO18; Poxviridae DNA-directed RNA polymerase	K21081
rpoA1; DNA-directed RNA polymerase subunit A'	K03041
rpoA2; DNA-directed RNA polymerase subunit A"	K03042
rpoA2; DNA-directed RNA polymerase subunit A\"	K03042
rpoA; DNA-directed RNA polymerase subunit alpha	K03040
rpoB1; DNA-directed RNA polymerase subunit B'	K03044
rpoB2; DNA-directed RNA polymerase subunit B"	K03045
rpoB2; DNA-directed RNA polymerase subunit B\"	K03045
rpoBC; DNA-directed RNA polymerase subunit beta-beta'	K13797
rpoB; DNA-directed RNA polymerase subunit beta	K03043
rpoB; DNA-directed RNA polymerase subunit B	K13798
rpoC; DNA-directed RNA polymerase subunit beta'	K03046
rpoD; DNA-directed RNA polymerase subunit D	K03047
rpoD; RNA polymerase primary sigma factor	K03086
rpoE1; DNA-directed RNA polymerase subunit E'	K03049
rpoE2; DNA-directed RNA polymerase subunit E"	K03050
rpoE2; DNA-directed RNA polymerase subunit E\"	K03050
rpoE; DNA-directed RNA polymerase subunit delta	K03048
rpoE; RNA polymerase sigma-70 factor, ECF subfamily	K03088
rpoF; DNA-directed RNA polymerase subunit F	K03051
rpoG; DNA-directed RNA polymerase subunit G	K03052
rpoH; DNA-directed RNA polymerase subunit H	K03053
rpoH; RNA polymerase sigma-32 factor	K03089
rpoI; DNA-directed RNA polymerase subunit I	K03054
rpoK; DNA-directed RNA polymerase subunit K	K03055
rpoL; DNA-directed RNA polymerase subunit L	K03056
rpoN; DNA-directed RNA polymerase subunit N	K03058
rpoN; RNA polymerase sigma-54 factor	K03092
rpoP; DNA-directed RNA polymerase subunit P	K03059
rpoS; RNA polymerase nonessential primary-like sigma factor	K03087
rpoZ; DNA-directed RNA polymerase subunit omega	K03060
RPP14; ribonuclease P protein subunit RPP14	K14529
RPP1, RPP30; ribonuclease P/MRP protein subunit RPP1	K03539
RPP20, POP7; ribonuclease P/MRP protein subunit RPP20	K14527
RPP25; ribonucleases P/MRP protein subunit RPP25	K14525
RPP38; ribonucleases P/MRP protein subunit RPP38	K14523
RPP40; ribonucleases P/MRP protein subunit RPP40	K14530
rppA; 1,3,6,8-tetrahydroxynaphthalene synthase	K19580
RPR2, RPP21; ribonuclease P protein subunit RPR2	K03540
rprA; small regulatory RNA RprA	K18518
RPR; cell death protein rpr	K20014
RPRM; reprimo, TP53-dependent G2 arrest mediator candidate	K10128
RP-S10e, RPS10; small subunit ribosomal protein S10e	K02947
RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10	K02946
RP-S11e, RPS11; small subunit ribosomal protein S11e	K02949
RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11	K02948
RP-S12e, RPS12; small subunit ribosomal protein S12e	K02951
RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12	K02950
RP-S13e, RPS13; small subunit ribosomal protein S13e	K02953
RP-S13, rpsM; small subunit ribosomal protein S13	K02952
RP-S14e, RPS14; small subunit ribosomal protein S14e	K02955
RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14	K02954
RP-S15Ae, RPS15A; small subunit ribosomal protein S15Ae	K02957
RP-S15e, RPS15; small subunit ribosomal protein S15e	K02958
RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15	K02956
RP-S16e, RPS16; small subunit ribosomal protein S16e	K02960
RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16	K02959
RP-S17e, RPS17; small subunit ribosomal protein S17e	K02962
RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17	K02961
RP-S18e, RPS18; small subunit ribosomal protein S18e	K02964
RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18	K02963
RP-S19e, RPS19; small subunit ribosomal protein S19e	K02966
RP-S19, rpsS; small subunit ribosomal protein S19	K02965
RP-S1, rpsA; small subunit ribosomal protein S1	K02945
RP-S20e, RPS20; small subunit ribosomal protein S20e	K02969
RP-S20, rpsT; small subunit ribosomal protein S20	K02968
RP-S21e, RPS21; small subunit ribosomal protein S21e	K02971
RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21	K02970
RP-S23e, RPS23; small subunit ribosomal protein S23e	K02973
RP-S24e, RPS24; small subunit ribosomal protein S24e	K02974
RP-S25e, RPS25; small subunit ribosomal protein S25e	K02975
RP-S26e, RPS26; small subunit ribosomal protein S26e	K02976
RP-S27Ae, RPS27A, UBA80; ubiquitin-small subunit ribosomal protein S27Ae	K02977
RP-S27e, RPS27; small subunit ribosomal protein S27e	K02978
RP-S28e, RPS28; small subunit ribosomal protein S28e	K02979
RP-S29e, RPS29; small subunit ribosomal protein S29e	K02980
RPS2; disease resistance protein RPS2	K13459
RP-S2e, RPS2; small subunit ribosomal protein S2e	K02981
RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2	K02967
RP-S30e, RPS30; small subunit ribosomal protein S30e	K02983
RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae	K02984
RP-S3e, RPS3; small subunit ribosomal protein S3e	K02985
RP-S3, rpsC; small subunit ribosomal protein S3	K02982
RPS4; disease resistance protein RPS4	K16226
RP-S4e, RPS4; small subunit ribosomal protein S4e	K02987
RP-S4, rpsD; small subunit ribosomal protein S4	K02986
RPS5; disease resistance protein RPS5	K13460
RP-S5e, RPS5; small subunit ribosomal protein S5e	K02989
RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5	K02988
RP-S6e, RPS6; small subunit ribosomal protein S6e	K02991
RPS6KA4, MSK2; ribosomal protein S6 kinase alpha-4	K16510
RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5	K04445
RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6	K04373
RPS6KB; ribosomal protein S6 kinase beta	K04688
RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6	K02990
RP-S7e, RPS7; small subunit ribosomal protein S7e	K02993
RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7	K02992
RP-S8e, RPS8; small subunit ribosomal protein S8e	K02995
RP-S8, rpsH; small subunit ribosomal protein S8	K02994
RP-S9e, RPS9; small subunit ribosomal protein S9e	K02997
RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9	K02996
RP-SAe, RPSA; small subunit ribosomal protein SAe	K02998
RPTN; repeatin	K23927
RPUSD3; mitochondrial RNA pseudouridine synthase RPUSD3	K22537
RPUSD4; mitochondrial RNA pseudouridine synthase RPUSD4	K22538
rraA, menG; regulator of ribonuclease activity A	K02553
RRA; arabinosyltransferase	K20783
rraB; regulator of ribonuclease activity B	K09893
RRAD, RAD1; Ras-related associated with diabetes	K07845
RRAGA_B; Ras-related GTP-binding protein A/B	K16185
RRAGC_D; Ras-related GTP-binding protein C/D	K16186
